id-EP2801495B1    abstract-
id-US8996227B2    abstract-A power control system for controlling a power network of a hybrid electrical vehicle, is provided. The power control system includes a power generating unit, one or more energy storage units coupled to a power converting unit, an electrical load. The power control system further includes a control logic module for controlling the power generating unit and the power converting unit. The control logic module is configured to identify a power demand from the electrical load and to select the power generating unit or one of the one or more energy storage units to control a voltage level of the power network based on the identified power demand, based on electrical characteristics of the power generating unit, of the power converting unit, and of the electrical load, and based on a current mode of operation of the vehicle.
id-US9043085B2    abstract-A system includes a source of regenerative power that generates power during a regenerative event, an electrical energy storage system connected with the source of regenerative power to receive and store regenerative power during the regenerative event, an accessory load that reduces an amount of energy stored in the energy storage system when being powered, a source of information, and an accessory load controller. The accessory load controller is responsive to the source of information to estimate when a next occurrence of a regeneration event will occur, predict whether the energy storage device will be in a state of charge condition to receive regenerative power at the time of the predicted regeneration event, and control an application of electrical power to the accessory load based on the prediction in order to reduce the amount of energy stored in the energy storage device and minimize any loss of regenerative power during a next regenerative event.
id-US9061599B2    abstract-A system for storing electrically a regenerative energy of a vehicle is provided. The system includes a first energy storage device, a second energy storage device, an energy regulating device coupled to the first and second energy storage devices, a source of regenerative power configured to capture a regenerative energy during a regenerative power event of the vehicle, and a control unit coupled to the energy regulating device. The control unit is configured to transfer electrical energy from the first energy storage device to the second energy storage device based on a prediction of the regenerative power event using the energy regulating device. The transfer of the electrical energy serves to reduce the electrical energy stored in the first energy storage device thereby enabling the first energy storage device to receive from the regenerative power device when the predicted regenerative power event occurs an amount of the electrical regenerative energy.
id-CN104995076A    abstract-本发明涉及一种设置用于通过肌力运动的设备、特别是车辆，该设备包括：除肌力(F B )之外影响所述设备的运动的、产生另一个力(F M )的电机(5)；用于测量作用到所述设备上的肌力(F B )的至少一个传感器(3)；以及用于借助传感器(3)的测量信号(F B′ )来对通过电机(5)产生所述另一个力(F M )进行控制的装置(6-11)。按照本发明，用于对产生驱动或/和制动力(F M )进行控制的所述设备(6-11)包括负载机构(7)，该负载机构用于将由电机(5)以发电机形式产生的电能转化成另一种能量形式、特别是热量。
id-WO2014118678A2    abstract-An energy system for a vehicle, the energy system comprising an electric machine arranged to provide a drive torque when placed in a drive mode of operation and arranged to generate current when placed in a braking mode of operation; a resistor placed in series with a switch and a capacitor, wherein the switch is arranged to control the flow of current generated by the electric machine through the resistor to allow energy to be stored on the capacitor and for energy to be dissipated in the resistor.
id-JP2019022506A    abstract-【課題】患者特有のドライバー変異を特定するための方法を提供する。【解決手段】癌患者の異常なシグナル伝達経路を引き起こす変異を同定する方法であって、ａ）患者の試料または患者の腫瘍分子プロファイリングデータを取得することと、ｂ）前記患者に存在する試験遺伝子変異を含む発現ベクターを作製することと、ｃ）前記試験遺伝子に対応する野生型遺伝子を含む対照の発現コンストラクトを作製することと、ｄ）蛍光トランスロケーションレポーター（ＦＴＲ）をコードする発現ベクターを作製することと、ｅ）前記発現ベクタ—をアッセイ細胞へトランスフェクトすることと、ｆ）前記変異試験遺伝子または野生型遺伝子と前記ＦＴＲの発現を可能にするのに十分な時間で前記アッセイ細胞をインキュベートすることと、ｇ）前記細胞内の前記ＦＴＲの細胞内局在を決定することと、を含む方法。【選択図】なし
id-WO2014111182A1    abstract-Es wird ein Verfahren zum Betreiben eines Bremssystems eines Kraftfahrzeuges mit wenigstens einer Vorderachse und einer Hinterachse sowie ein das Verfahren verwendendes Bremssystem bereitgestellt, wobei das Bremssystem umfasst: einen Bremskraftverstärker mit einem von einem Fahrer des Kraftfahrzeuges zu betätigenden Bremseingabeelement, welches mit einem Betätigungsweg-Sensor zur Bereitstellung eines Signales entsprechend einem Fahrerbremswunsch gekoppelt ist; einen mit dem Bremskraftverstärker gekoppelten Hauptbremszylinder, welcher wiederum mit einem Bremsmediumreservoir gekoppelt ist; Fluidleitungen, welche einerseits in fluider Kommunikation mit dem Hauptbremszylinder und dem Bremsmediumreservoir stehen, und andererseits über eine Anordnung von Ventilen in fluider Kommunikation mit Bremseinrichtungen an Rädern der Achsen stehen, wobei die Räder jeweils auch mit, zusätzlich zu den Bremseinrichtungen, Bremsmoment erzeugenden Generatoren gekoppelt sind; wobei das Verfahren die folgenden Schritte umfasst: Erzeugen eines hydraulischen Leerweges mittels der Anordnung von Ventilen und einer entsprechenden Ansteuerung der Ventile mittels einer mit den Ventilen gekoppelten Steuereinheit, wobei durch das Erzeugen des Leerweges während einer Betätigung des Bremseingabeelements durch den Fahrer ein hydraulischer Druckaufbau zum Verzögern einer Radgeschwindigkeit der jeweiligen Räder verhindert wird; und Erzeugen eines generatorischen Bremsmoments an den jeweiligen Rädern zum Verzögern der Radgeschwindigkeit der jeweiligen Räder, und zwar auf Grundlage des Fahrerbremswunsches.
id-US9561733B2    abstract-An on-vehicle travel distance output apparatus for a vehicle is disclosed. The vehicle including a battery and a travel motor that generate, based on electric power of the battery, a drive force for the travel of the vehicle, wherein the battery is chargeable based on electric power from a first charge source as well as electric power from a second charge source. The on-vehicle travel distance output apparatus includes a processing device that calculates a first travel distance of the vehicle over which the vehicle travels based on the electric power of the battery obtained from the first charge source and a second travel distance of the vehicle over which the vehicle travels based on the electric power of the battery obtained from the second charge source to output the calculated first and second travel distances.
id-US20150298552A1    abstract-The regenerative energy produced during the braking of a vehicle is used for powering a secondary battery, that is independent from the main battery, and, in the event of a complete failure of said main battery, allows the continued operation of the basic services such as power steering, lights, the brake servo unit, and electronics, as a result of the combined action of said autonomous system that includes a capacitor bank which powers said services either directly or via the secondary battery. The system comprises an interface of the electronic power and control unit, an electronic power and control unit, applied to the steering and pedals, and an ECU power controller and port.
id-DE102013201563A1    abstract-Die Erfindung betrifft das Energiemanagement in einem Fahrzeug. Insbesondere betrifft die Erfindung ein Verfahren und eine Vorrichtung zur verbesserten Abstimmung von Bereitstellung und Verbrauch von elektrischer Energie in einem Fahrzeug. Es wird eine Steuereinheit für das Energiemanagement eines elektrischen Bordnetzes eines Fahrzeugs beschrieben. Die Steuereinheit ist eingerichtet, einen Insassen des Fahrzeugs zu ermitteln; eine Betriebsstrategie für das Energiemanagement zu ermitteln, wobei die Betriebsstrategie von dem ermittelten Insassen abhängt; und die ermittelte Betriebsstrategie für das Energiemanagement des elektrischen Bordnetzes des Fahrzeugs anzuwenden.
