id-EP2213539B1    abstract-
id-US9199618B2    abstract-Disclosed is an electrohydraulic brake system for use in vehicles which can be braked by means of generator operation of an electric drive motor. The brake system comprises, inter alia, a brake booster and an electronic control unit which is provided for distributing the braking effect between a generative component or recuperation braking component and a friction braking component. In order to optimize the take-up of pressure medium, in particular during recuperation braking, the brake booster ( 6, 11, 15 ) is configured to be electrically actuated by the electronic control unit ( 10 ). The boosting force generated by the brake booster ( 6, 11, 15 ) is exerted as a function of variables relevant to the brake system.
id-US8157333B2    abstract-A braking device includes: an input member configured to interlock with a displacement of a brake pedal; an output member which is movable relatively to and independently of the input member and is configured to generate a fluid pressure in a master cylinder; a braking mechanism configured to exert a braking force on a wheel by the fluid pressure generated in the master cylinder; drive means configured to drive the output member independently of the input member; and a clutch mechanism which is provided between the input member and the output member and configured to engage the input member with the output member so as to allow the input and output members to uniformly move when the output member is not driven by the drive means, and to cancel the engagement between the input member and the output member when the output member is driven by the drive means.
id-JP5212723B2    abstract-
id-US20100188029A1    abstract-A braking system for an aircraft provided with undercarriage, wherein an axial-flux reversible electric machine is set between the wheel and the frame of the undercarriage; current-dissipating resistors are provided, which can be connected to the windings of the axial-flux reversible electric machine during rotation of said wheel for dissipating by the Joule effect the induced currents generated by the axial-flux electric machine, which behaves as current generator, and producing a braking effect that slows down the movement of the wheel, thus exerting a braking action.
id-DE102009005057A1    abstract-Die Erfindung betrifft eine Bremsanlage eines Kraftfahrzeugs, das zumindest anteilig von einer Elektromaschine antreibbar ist, die zur Bereitstellung von Bremsenergie für das Fahrzeug als Generator betreibbar ist, um als sog. Rekuperationsbremse zu wirken, wobei der Stator der Elektromaschine um die Rotationsachse des Rotors der Elektromaschine begrenzt verschwenkbar ist und aus einer bei Initiierung des Generator-Betriebs erfolgenden Verschwenkbewegung des Stators der Elektromaschine heraus ein letztlich auf ein Rad des Fahrzeugs einwirkendes Bremselement betätigt wird. Es ist die begrenzte Verschwenkbewegung des Stators über eine Kolben-Zylinder-Einheit ein Fluid zu verdichten in der Lage und es wirkt dieser Fluid-Druck direkt oder indirekt in einer hydraulischen Bremsanlage des Kraftfahrzeugs. Es kann das von der Kolben-Zylinder-Einheit verdichtete Fluid als sog. Bremsflüssigkeit über eine Bremsdruck-Modulations-Einrichtung mit zumindest einem einem Rad des Fahrzeugs zugeordneten Bremskolben zusammenwirken oder es kann das von der Kolben-Zylinder-Einheit verdichtete Fluid auf einem Hauptbremszylinder einer hydraulischen Bremsanlage des Fahrzeugs einwirken.
id-EP2213538A1    abstract-A braking system for an aircraft (2) provided with undercarriage (7), wherein an axial-flux three-phase reversible electric machine (20) is set between the wheel (10) and frame (8) of the undercarriage; a three-phase rectifier diode bridge (28) is provided, connected at input to the windings (26a, 26b, 26c) of the axial-flux reversible electric machine (20) during rotation of said wheel (10) when the aircraft is landing, to provide a substantially levelled voltage (Vc) used for solenoids (54) for actuating a mechanical disk brake coupled to the wheel (10) and used for producing a braking effect in said landing phase.
id-US7976110B2    abstract-A hybrid braking system that operates in conjunction with a foundation braking system, whether an air, hydraulic, electric, mechanical or electric braking system. Recovered energy is returned to the axle wheels in a controlled manner while the vehicle is in motion and certain criteria are met so as to compensate for aerodynamic drag and rolling resistance for instance but not at a rate to accelerate or launch a vehicle.
id-US9340193B2    abstract-A brake pedal unit for coupling to a brake pedal includes a housing and a pedal simulator housed within a simulation chamber formed in the housing. The pedal simulator includes a spring for providing force feedback. A first piston is mounted in the housing. The first piston is operable to generate brake actuating pressure at a first pressure output. A second piston is mounted in the housing. The first piston is operable to generate brake actuating pressure at a second pressure output. An input piston is connected to operate the pedal simulator during a normal braking mode, and wherein the input piston is coupled to actuate the first and second pistons during a manual push-though mode.
id-US20120056471A1    abstract-A brake unit for a hydraulic, single- or multi-circuit brake system of a land vehicle with electric drive for carrying out regenerative braking by means of at least one electrical machine in or at the drive train of the vehicle and braking by means of at least one friction brake, wherein a brake pedal and at least one sensor for detecting a braking request of the driver is provided, a master cylinder for feeding pressurized hydraulic fluid into at least one brake circuit in accordance with the braking request, wherein a dividing cylinder is provided, which has a first hydraulic chamber and a second hydraulic chamber divided from the first by a dividing piston, wherein the first hydraulic chamber has a first port, which is connected to the master cylinder, and a second port, which is connected by a simulation valve to a line leading to the wheel brakes, and the second hydraulic chamber is connected by a shut-off valve to the low-pressure storage chamber, and an orifice is disposed in a connection line between the simulation valve and the low-pressure storage chamber.
id-DE102009001147A1    abstract-Die Erfindung betrifft einen Antriebsstrang eines Kraftfahrzeugs, der einen Verbrennungsmotor (2) mit einer Triebwelle (3), ein Stufenschaltgetriebe (4) mit einer über eine Reibungskupplung (13) mit der Triebwelle (3) des Verbrennungsmotors (2) verbindbaren Eingangswelle (5) sowie einer mit dem Achsgetriebe einer Antriebsachse in Triebverbindung stehenden Ausgangswelle (6) und einen an der Abtriebsseite (14) des Stufenschaltgetriebes (4) achsparallel zu der Ausgangswelle (6) angeordneten sowie über eine Rotorwelle (15) und einen als Stirnradgetriebe (17) mit einem ausgangswellenseitigen Antriebszahnrad (18) und einem rotorwellenseitigen Abtriebszahnrad (19) ausgebildeten Hochtrieb (16) mit der Ausgangswelle (6) in Triebverbindung stehenden hydrodynamischen Retarder (7) aufweist. Im wesentlichen zur Erhöhung der verfügbaren maximalen Dauerbremsleistung, aber auch zur Verringerung des Kraftstoffverbrauchs und zur Erhöhung des Fahrkomforts ist zusätzlich eine als Motor und als Generator betreibbare Elektromaschine (10) mit einem Stator (11) und einem Rotor (12) vorgesehen, die an der Abtriebsseite (14) des Stufenschaltgetriebes (4) mit einer drehfesten Verbindung des Rotors (12) koaxial auf einer Nebenabtriebswelle (20) eines mit der Ausgangswelle (6) des Stufenschaltgetriebes (4) in Triebverbindung stehenden Nebenabtriebs (21) angeordnet ist.
id-DE102009007042A1    abstract-Verfahren zum Betrieb eines Nutzfahrzeugs, insbesondere eines Müllsammelfahrzeugs, umfassend einen Antriebsstrang (1) mit einem Fahrmotor (2), einem Getriebe (5) und einer Kupplung (4) und einen Hydraulikkreislauf (10) mit mindestens einem Hochdruckspeicher (12), wenigstens einem hydraulischen Verbraucher (15) und einer hydraulischen Pumpen-/Motoreinheit (11), welche mit dem Antriebsstrang (1) koppelbar ist, wobei hydraulische Energie in mindestens einem Hochdruckspeicher (12) gespeichert wird und der Fahrmotor (2) abgeschaltet wird, falls eine oder mehrere Abschaltbedingungen erfüllt sind, wobei ein oder mehrere hydraulische Verbraucher (15) mit der in dem oder den Hochdruckspeichern (12) gespeicherten hydraulischen Energie betrieben werden, falls der Fahrmotor (12) abgeschaltet ist und dieser durch die hydraulische Pumpen-/Motoreinheit (11) angelassen wird, falls eine oder mehrere Anschaltbedingungen erfüllt sind.
id-DE102009001034A1    abstract-Die Erfindung betrifft ein Verfahren zum Betreiben eines Antriebsstrangs eines Kraftfahrzeugs, wobei der Antriebsstrang ein als Hybridantrieb ausgebildetes Antriebsaggregat mit einem Verbrennungsmotor und einer elektrischen Maschine sowie ein zwischen das Antriebsaggregat und einen Abtrieb geschaltetes Getriebe umfasst und wobei der Antriebsstrang weiterhin ein Druckspeichersystem mit mindestens einem Druckspeicher und mindestens einem vom Verbrennungsmotor angetriebenen Druckförderer umfasst, über den der oder jeder Druckspeicher befüllbar ist. Erfindungsgemäß wird der Druck in dem oder jedem Druckspeicher des Druckspeichersystems messtechnisch erfasst und ein Druckistwert des Druckspeichersystems mit mindestens einem Schwellwert verglichen, wobei dann, wenn der Druckistwert größer als ein Schwellwert ist, ein Stoppen des Verbrennungsmotors zugelassen wird, wohingegen dann, wenn der Druckistwert kleiner als ein Schwellwert ist, ein Stoppen des Verbrennungsmotors nicht zugelassen wird.
id-EP2412594B1    abstract-
id-US8770352B2    abstract-Provided is a braking system which can enhance the power generation efficiency of a thermoelectric conversion element by efficiently recovering the heat generated during braking, or by increasing the temperature difference between a heat source and the thermoelectric conversion element. A brake pad body in a brake pad is provided with a thermoelectric conversion element. The thermoelectric conversion element includes an n-type semiconductor layer and a p-type semiconductor layer. The n-type semiconductor layer and the p-type semiconductor layer are provided in a recess formed in the back surface of the brake pad body.
