id-JP5720701B2    abstract-
id-CN103930296B    abstract-驾驶员制动性能反馈可使用车辆显示系统以制动效率数的形式传达给车辆操作者。显示系统可包括车辆显示器，该车辆显示器用于显示对应于制动效率数的制动效率指示器或仪表。制动效率数可基于在至少一个制动事件期间重新捕获的总再生制动能量与在所述至少一个制动事件期间可重新捕获的制动能量的最大量或在所述至少一个制动事件期间消耗的实际的总制动能量的比较。在制动事件完成时或在包括多个制动事件的行程完成时，可显示制动效率数。显示器还可传达对应于行程距离的通过再生制动获得的那部分行程距离的距离。
id-EP2476573B1    abstract-
id-US9018812B2    abstract-Manual drive energy is input into a transport device of one embodiment by linearly reciprocating a first drive member that couples by way of a ratchet mechanism (or other mechanical motion rectifier means) and a mechanical motion amplifier means to one or more faster spinning flywheel masses. The one or more flywheel masses are formed in part by a combination electric motor/generator and it has rechargeable electric batteries distributively provided about a flywheel mass portion thereof. Tapered roller bearings having ferromagnetic material are interposed between the one or more flywheel masses and/or between one of the flywheels and a stationary frame of the transport device so as to repeatedly make and break closed magnetic flux conducting loops and thus provide at least one of an electric motoring and electricity generating function.
id-DE102012001697A1    abstract-Es werden eine elektrohydraulische Bremse und ein Steuerverfahren für diese offenbart, die eine hydraulische Bremskraft zum Übertragen eines stabilen Pedalengefühls und ein regenerierbares Bremsen zum Verbessern des Kraftstoff-Wirkungsgrads vorsehen. Die elektrohydraulische Bremse enthält einen Hauptzylinder (120), ein Gehäuse (110) enthaltend eine Verstärkerkammer (112) und eine Basiskammer (111), ein Ölreservoir (140), eine hydraulische Steuereinheit (200), die mit dem Ölreservoir verbunden ist, eine Simulationseinheit (130) und einen Pedalversetzungssensor (150). Die hydraulische Steuereinheit enthält einen Akkumulator (210), eine Pumpe (221) zum Absorbieren von Öl aus dem Ölreservoir und zum Ausgeben des Öls zu dem Akkumulator, einen Motor (222) zum Antreiben der Pumpe, ein normales Schneidventil (220), ein Simulationssteuerventil (230), zwei Steuerventile (241, 242) zum Steuern des Drucks in der Verstärkerkammer, Drucksensoren (251, 252, 253) zum Erfassen der Drücke in der Basiskammer, dem Akkumulator und der Verstärkerkammer, und eine Steuervorrichtung (260) zum Steuern des Motors und der Ventile auf der Grundlage von Druckinformationen und Pedalversetzungsinformationen.
id-US20120180468A1    abstract-A system and associated devices that can be used to transform vibrational energy absorbed by the wheels of an automobile into captured energy for use by the automobile. A method to charge an automobile's electric battery without burning fuel and in a shorter time period than prior approaches. A method to assure a smooth drive for an automobile by reducing vibrations associated with the automobile. An apparatus that provides for the vector superposition of the magnetic fields from a plurality of adjacent permanent magnets and maximizes radial magnetic flux density within coil windings for optimal power generation and energy conversion efficiency of an automobile. A system, method, and apparatus for compressing air resulting from the passage of a automobile over a roadway, thereby providing generation of power for the automobile.
id-US20120175200A1    abstract-A system is provided for customized vehicle deceleration. The system includes a braking system and a brake pedal position sensor that transmits a brake pedal position signal. A user interface is configured for transmitting a profile selection signal in response to a user input. A controller is configured for receiving the brake pedal position signal, the profile selection signal and an available torque signal, the available torque signal being indicative of a braking system torque capability. The controller analyzes the profile selection signal, to select a brake profile from pre-existing data. The controller compares the brake pedal position signal to the brake profile to determine a deceleration value. The controller compares the deceleration value to the available torque signal to determine a torque command. The controller transmits a torque command signal to the braking system for initiating braking.
id-KR20120082232A    abstract-단변속기의 에너지를 저장하는 플라이휠을 기계적으로 연결한 회생제동장치를 제공함으로써, 운전 조건에 따른 제한이 없을 뿐만 아니라 주변 전자파 간섭 등을 미연에 방지할 수 있고, 구조가 단순하기 때문에 신뢰성 및 안전성이 매우 우수하여 차량의 연비 개선 및 에너지 효율을 향상시킬 수 있는 무단변속기와 플라이휠을 이용한 기계적 회생제동장치가 개시되어 있다. 본 발명에 따른 회생제동장치는 드라이빙 모터와 연결되어 회전하는 무단 변속기의 원동축에 착탈 가능하게 배치된다. 이러한 회생제동장치는, 차량 제동 시 차량이 가지고 있는 운동에너지를 저장하는 플라이 휠, 및 차량 주행 시에는 무단 변속기의 원동축에서 플라이 휠을 분리시키고, 차량 제동 시에는 원동축에 플라이 휠을 연결시키는 탈착수단으로 이루어진다.
id-DE102011008928A1    abstract-Insbesondere in einem Rennwagen soll sich das Verhältnis der auf die Vorderräder einerseits und auf die Hinterräder andererseits wirkenden Bremskräfte nicht ändern, auch wenn einmal Energie mit Hilfe eines Generators rekuperiert wird und ein andermal nicht. Die Erfindung stellt hierzu zwei Teilvolumina in Form von bevorzugt zwei gesonderten Bremszylindern (20, 28; 20, 28') bereit, denen eine Umschalteinrichtung (30) zugeordnet ist derart, dass wahlweise Bremsfluid aus dem einen oder dem anderen Teilvolumen bzw. Bremszylinder (20, 28; 20, 28') den Bremsdruck bereitstellt.
id-WO2012105933A1    abstract-The invention is a combination accumulator and reservoir which stores energy when the accumulator deforms from its original shape in response to the flow of a pressurized fluid from the reservoir. The stored energy is returned when the fluid flow is reversed and the accumulator discharges the fluid and returns to its original shape. At least one part of the novelty of the invention is that the accumulator and the fluid reservoir reside in the same housing such that the volume of each varies inversely. Accordingly, the invention is more compact and weighs less than conventional accumulators. Another feature of the invention is that fluid is located around the bladder accumulator to lubricate contact between the bladder and sides of the reservoir.
id-US9081387B2    abstract-A method and a device are for prediction and adaptation of movement trajectories of a vehicle for assisting the driver and/or for preventing or reducing the severity of a collision. Situatively required movement trajectories for assisting the driver or collision avoidance are determined using an environment sensor system. Physically possible movement trajectories are determined from characteristic properties of the driving dynamics of the vehicle and from the coefficient of friction between the tires and the road up to a maximum coefficient of friction. An intersection between the above two sets of trajectories is determined, and only trajectories that are included in this intersection are taken into account for the prediction and adaptation of movement trajectories for the driving assistance or collision avoidance function.
