id-NL1039307C2    abstract-
id-EP2634500B1    abstract-
id-KR101149815B1    abstract-본 발명은 공기 대 공기의 현열과 잠열을 동시에 교환하여 실내의 공기를 환기시키기 위한 전열교환 환기유니트에 관한 것이다. 본 발명의 실시예에 따른 전열교환 환기유니트는 실내공기흡입구와 실내공기공급구가 나란하게 일측면에 구비되고, 타측면에 외부공기흡입구와 실내공기배출구가 나란하게 구비되는 하우징; 상기 실내공기흡입구와 상기 실내공기공급구를 구획하고 상기 실내공기흡입구와 상기 실내공기공급구를 서로 연통하는 공기정화유로공이 형성된 제1 격벽; 상기 실내공기흡입구로 유입된 공기가 통과하는 환기유로공이 형성된 제2 격벽; 상기 공기정화유로공과 상기 환기유로공을 선택적으로 개방 또는 폐쇄하는 공기정화전환댐퍼; 상기 실내공기공급구와 상기 실내공기배출구를 구획하는 제3 격벽; 상기 하우징의 내부로 유입된 공기와 열교환하는 전열교환기; 상기 하우징의 내부로 유입된 공기를 상기 실내공기공급구로 배출하는 실내공기공급팬; 상기 하우징의 내부로 유입된 공기를 상기 실내공기배출구로 배출하는 실내공기배출팬; 상기 공기정화전환댐퍼, 상기 전열교환기, 상기 실내공기공급팬 및 상기 실내공기배출팬을 제어하는 제어부; 및 상기 하우징을 밀폐하는 커버를 포함한다. 따라서, 오염된 외부공기의 유입을 차단한 상태에서도 실내공기를 여과하여 순환시키는 형태로 환기시킬 수 있는 효과가 있다.
id-KR20130085674A    abstract-본 발명은 각종 건물, 특히 아파트와 같은 다층의 공동건물에 적용하기 적합한 건물환기용 급기장치에 관한 것이다. 본 발명의 건물환기용 급기장치(1)는, 건물(2)의 실내에 설치되어 외기를 실내로 공급하는 디퓨저(10); 상기 디퓨저(10)에 연결되고, 상기 건물(2)의 콘크리트슬래브(4)를 따라 매립되어 상기 건물(2)의 실외 쪽으로 배관된 매립급기닥트(20); 상기 매립급기닥트(20)를 통해 상기 디퓨저(10)로 외기를 송풍하는 급기팬(30); 상기 디퓨저(10)의 상류에 설치되어 상기 디퓨저(10)로 공급되는 공기량을 조절하는 댐퍼(40); 및 상기 건물(2)의 실내에 설치되고, 상기 급기팬(30)과 상기 댐퍼(40) 중에 적어도 하나를 제어함으로써 상기 디퓨저(10)로 공급되는 공기량을 제어하는 컨트롤러(50); 를 포함하고; 상기 콘크리트슬래브(4)에 축열된 열과 상기 매립급기닥트(20)를 통과하는 공기 사이에 열교환이 이루어지는 것을 특징으로 한다.
id-KR101263656B1    abstract-본 발명은 본 발명은 건축물 실내외 공기의 급배기하는 열교환기 조립체 및 이를 이용한 실내외 공기의 급배기방법에 관한 것으로서, 구체적으로는 하나의 본체 내에 2개의 열교환기를 병렬로 배치함으로써 열교환이 필요한 경우에는 열전달 면적을 극대화시켜 열교환 효율을 높이고, 열교환 없이 실내외 공기가 흐르도록 하는 바이패스 상태가 요구되는 경우(예를 들면, 간절기 또는 하절기의 야간)에는, 상기 열교환기 사이에 설치된 댐퍼부재를 이용하여 열교환기로의 공기 유입을 차단하므로써 열교환 없이 신선한 실외 공기(외기)가 그대로 실내에 유입되도록 하며, 더 나아가 필요한 경우에는 댐퍼부재의 작동으로 공기 유로를 변환시켜 하나의 열교환기에서만 열교환이 이루어지도록 함으로써 필요한 공간에만 열교환된 상태로 급배기되어 실내외 공기가 환기되도록 하는 새로운 구성의 열교환기 조립체 및 이를 이용한 실내외 공기의 급배기방법에 관한 것이다.
id-EP2620715B1    abstract-
id-WO2013104124A1    abstract-A hybrid air conditioning system associated with a heat pump and an aqueous desiccant/water complex cycle, where in the heat pump is coupled to the aqueous desiccant/water complex cycle, the conditioned room and the environment either directly or indirectly through heat exchanger units, connecting pipes, switches and control valves. The hybrid air conditioning system can be switched into different operation modes and operate appropriately under different weather conditions.
id-JP5654670B2    abstract-
id-KR20130085675A    abstract-본 발명은 각종 건물, 특히 아파트와 같은 다층의 공동건물에 적용하기 적합한 중앙식 환기장치에 관한 것이다. 본 발명에 따른 중앙식 환기장치(1)는, 공동건물(2)에 소속된 각 세대의 실내에 설치되어 외기를 실내로 공급하는 디퓨저(10); 상기 디퓨저(10)에 연결되고, 상기 공동건물(2)의 각 세대의 실내로부터 실외 쪽으로 배관된 개별급기닥트(20); 상기 공동건물(2)의 전체에 걸쳐 배관되고, 상기 개별급기닥트(20)들이 연결되는 메인급기닥트(30); 상기 메인급기닥트(30)에 설치되고, 상기 메인급기닥트(30)와 상기 개별급기닥트(20)를 통해 상기 디퓨저(10)로 공기를 송풍하는 중앙의 급기팬(40); 상기 개별급기닥트(20)를 통해 상기 디퓨저(10)로 공급되는 공기량을 조절하는 급기댐퍼(50); 및 상기 공공건물(2)의 각 세대에 설치되고, 상기 급기팬(40)과 해당 세대에 소속된 상기 급기댐퍼(50) 중에 적어도 하나를 제어함으로써, 해당 세대의 상기 디퓨저(10)를 통해 실내로 공급되는 공기량을 제어하는 급기컨트롤러(60); 를 포함한다.
id-KR101193222B1    abstract-본 발명은 전열교환기가 작동하지 않을 경우, 실외와 전열교환기를 연결하는 덕트의 내부로 외기가 유입되지 않도록 차단하는 댐퍼를 설치하여 덕트 내부에서 결로가 발생하지 않도록 하는 환기 시스템에 관한 것으로, 실외공기를 실내로 안내하는 급기덕트와, 상기 급기덕트와 소정 위치에서 교차하며 실내공기를 실외로 안내하는 배기덕트 및 상기 급기덕트와 배기덕트가 교차하는 지점에 설치되어 급기되는 실외공기와 배기되는 실내공기의 온도가 교환되는 전열교환기를 포함하며, 상기 급기덕트는 실외와 연통된 급기 흡입구와 인접한 지점에 실외공기의 유입을 단속하는 제1댐퍼를 설치하고, 상기 배기덕트는 실외와 연통된 배기 배출구와 인접한 지점에 실내공기의 배출을 단속하는 제2댐퍼를 설치하여 구성된다.
id-JP2013148343A    abstract-【課題】  調整済みの屋内空間において空気を冷却および除湿するための空気分割構成を提供する。 【解決手段】  調整済みの屋内空間において空気を冷却および除湿するための空気分割構成は、進入気流から作られた別々の第１および第２のコースを含む。第１のコースは、乾燥装置を通過して、空気から湿気を取り除き、乾燥装置を出た空気は、第１の冷却コイルを通過し空気が冷却され、第１の冷却コイルを出た空気は、給気プレナムに入る。第２のコースは、熱交換器の第１の側を通って方向付けられ、熱交換器を出た空気は、水分を乾燥装置から捕捉する前に加熱器要素により加熱される。乾燥装置を出た空気は、熱交換器の第２の側を通過し、その後、第２の冷却コイルを通過して、第２のコースの空気が冷却および除湿される。出てきた空気は、第１のコースの空気と混ぜ合わさって、調整済みの空間に戻る。この空間では、処理空気流は、再生空気流に対して最大化されると共に、依然として有効な潜熱冷却が可能である。 【選択図】図４
