id-CN102781713B    citedBy-64
id-US9162578B2    citedBy-23
id-US8631886B2    citedBy-22
id-US8994300B2    citedBy-22
id-CN102770294B    citedBy-16
id-US8994318B2    citedBy-15
id-JP2011151717A    citedBy-12
id-US20110168466A1    citedBy-15
id-KR101387515B1    citedBy-10
id-DE102010005789A1    citedBy-14
id-US20110174564A1    citedBy-7
id-DE102010004436A1    citedBy-6
id-WO2011089064A3    citedBy-1
id-FR2955303A3    citedBy-1
id-KR20110080786A    citedBy-1
id-JP2011143752A    citedBy-4
id-KR20110085540A    citedBy- 
id-CN102161315B    citedBy-44
id-EP2537740B1    citedBy-34
id-JP5471530B2    citedBy-27
id-US8464821B2    citedBy-20
id-CN102189985B    citedBy-19
id-US20110202197A1    citedBy-20
id-JP2011166992A    citedBy-15
id-WO2011099193A1    citedBy-10
id-DE102010008020A1    citedBy-9
id-CN102770297A    citedBy-7
id-US8502410B2    citedBy-4
id-AU2010347249B2    citedBy-72
id-JP5859732B2    citedBy-40
id-DE102011014166B4    citedBy-35
id-US8838366B2    citedBy-34
id-US8581557B2    citedBy-33
id-US8706374B2    citedBy-33
id-US8162089B2    citedBy-34
id-JP5577775B2    citedBy-27
id-US8567547B2    citedBy-25
id-JP5807180B2    citedBy-23
id-US8824113B2    citedBy-19
id-US8935062B2    citedBy-17
id-US8922785B2    citedBy-13
id-US8983702B2    citedBy-13
id-EP2543536A4    citedBy-10
id-DE102011001483A1    citedBy-11
id-WO2011106944A1    citedBy-10
id-JP2011217567A    citedBy-9
id-JP5382202B2    citedBy-9
id-CN103153683B    citedBy-11
id-CN102783014A    citedBy-11
id-WO2011108501A1    citedBy-8
id-KR20110105050A    citedBy-1
id-JP5521657B2    citedBy-1
id-DE102010013315A1    citedBy-1
id-KR101076284B1    citedBy-2
id-KR101402707B1    citedBy-4
id-KR101378414B1    citedBy-4
id-GB2478333A    citedBy-1
id-DE102010010206A1    citedBy- 
id-DE102010010058A1    citedBy- 
id-EP2383865B1    citedBy-36
id-US20180236887A1    citedBy-152
id-CN102233807B    citedBy-93
id-CN101811484B    citedBy-34
id-DE102011002075B4    citedBy-18
id-US9007028B2    citedBy-17
id-US8547040B2    citedBy-14
id-US9014891B2    citedBy-14
id-WO2011127034A1    citedBy-11
id-US20130066501A1    citedBy-14
id-WO2011128410A1    citedBy-13
id-EP2562028A4    citedBy-7
