id-EP2801495B1    citedBy-83
id-US8996227B2    citedBy-40
id-US9043085B2    citedBy-33
id-US9061599B2    citedBy-44
id-CN104995076A    citedBy-7
id-WO2014118678A2    citedBy-7
id-JP2019022506A    citedBy-4
id-WO2014111182A1    citedBy-6
id-US9561733B2    citedBy-8
id-US20150298552A1    citedBy-6
id-DE102013201563A1    citedBy-5
id-US20150321562A1    citedBy-4
id-EP2759509A1    citedBy-2
id-DE102014100505A1    citedBy-2
id-JP5958427B2    citedBy-2
id-CN104956564B    citedBy-3
id-KR101863176B1    citedBy-117
id-US9789781B2    citedBy-16
id-US20160001719A1    citedBy-43
id-US20140232331A1    citedBy-80
id-US9840250B2    citedBy-13
id-US9413256B2    citedBy-12
id-WO2014125741A1    citedBy-9
id-CN104002691A    citedBy-10
id-US20140239879A1    citedBy-7
id-WO2014128925A1    citedBy-6
id-CN104136269B    citedBy-5
id-JP6118124B2    citedBy-4
id-JP5950017B2    citedBy-2
id-JP2014154706A    citedBy- 
id-US20180134208A1    citedBy-19
id-CN105377613B    citedBy-64
id-US9676278B2    citedBy-21
id-US9789766B2    citedBy-25
id-US9254759B1    citedBy-25
id-EP2977283B1    citedBy-20
id-US9428177B2    citedBy-19
id-AU2016204649B2    citedBy-13
id-CN104044469B    citedBy-17
id-DE102013205164B3    citedBy-18
id-US9658075B2    citedBy-16
id-US20140266068A1    citedBy-33
id-WO2014136166A1    citedBy-39
id-US20140265554A1    citedBy-31
id-US20140277887A1    citedBy-18
id-EP2983000B1    citedBy-12
id-JP5817761B2    citedBy-11
id-CN104044529A    citedBy-7
id-CN105073486B    citedBy-7
id-WO2014154735A3    citedBy-8
id-WO2014157508A1    citedBy-8
id-US20140277931A1    citedBy-10
id-US20140277882A1    citedBy-7
id-US20160046203A1    citedBy-9
id-CN107738721A    citedBy-11
id-CN105263740A    citedBy-8
id-KR101427969B1    citedBy-11
id-US9522606B2    citedBy-6
id-AU2014244937B2    citedBy-8
id-US10177390B2    citedBy-7
id-DE112014001582T5    citedBy-6
id-WO2014141955A1    citedBy-6
id-US20160052399A1    citedBy-6
id-CA2901956C    citedBy-6
id-US20140277861A1    citedBy-5
id-WO2014147918A1    citedBy-5
id-DE102013204913A1    citedBy-5
id-KR101437349B1    citedBy-5
id-US20160039311A1    citedBy-4
id-IN2014CH01286A    citedBy-3
id-DE102013005086A1    citedBy-1
id-JP2014183662A    citedBy-1
id-DE102014204803A1    citedBy-2
id-KR101448760B1    citedBy- 
id-DE102013102584A1    citedBy-1
id-DE102013005113A1    citedBy-1
id-CN104071011A    citedBy-4
id-DE102013003801A1    citedBy-2
id-KR101458825B1    citedBy- 
id-KR20140119347A    citedBy- 
id-DE102013204542A1    citedBy- 
id-DE102013203890A1    citedBy- 
id-JP5954555B2    citedBy-27
id-EP2989436B1    citedBy-21
id-EP2983270A1    citedBy-53
id-RU2637837C2    citedBy-15
id-US10023173B2    citedBy-9
id-WO2014174865A1    citedBy-7
id-WO2014174221A3    citedBy-11
id-CN105209300A    citedBy-6
id-DE102013104211A1    citedBy-6
id-JPWO2014162830A1    citedBy-5
id-DE102013103949A1    citedBy-2
id-DE102013206913A1    citedBy-1
id-CN105143007A    citedBy-4
id-DE102014207814A1    citedBy-1
id-DE102013103415A1    citedBy- 
id-FR3005003A1    citedBy- 
id-CN105228870B    citedBy-33
id-US9586486B2    citedBy-21
id-EP3006291B1    citedBy-29
id-US9950630B2    citedBy-20
id-US9168845B2    citedBy-16
id-JP2014230322A    citedBy-7
id-US20170051819A1    citedBy-5
id-US9956890B2    citedBy-5
id-DE102013209175A1    citedBy-6
id-WO2014188870A1    citedBy-5
id-JPWO2014181616A1    citedBy-1
id-DE102013209837A1    citedBy-4
id-DE102013208329A1    citedBy-4
id-WO2014188652A1    citedBy-2
id-JPWO2014192360A1    citedBy-4
id-WO2014192371A1    citedBy- 
id-CN105283346B    citedBy-26
id-JP6239611B2    citedBy-26
id-CN103481787B    citedBy-39
id-US9458813B2    citedBy-22
id-CN105377619B    citedBy-22
id-US10293702B2    citedBy-45
id-CN104228717B    citedBy-20
id-CN104249738B    citedBy-19
id-US20160089981A1    citedBy-39
id-CN103496327B    citedBy-16
id-KR102193518B1    citedBy-15
id-US9300233B2    citedBy-13
id-US10173614B2    citedBy-12
id-JP6154674B2    citedBy-8
id-JP5979316B2    citedBy-11
id-US20160101698A1    citedBy-10
id-JP2015003564A    citedBy-10
id-CN105308842B    citedBy-9
id-JP5945250B2    citedBy-8
id-KR101720641B1    citedBy-6
id-DE102013211716A1    citedBy-6
id-WO2014199811A1    citedBy-3
id-US20160368389A1    citedBy-1
id-DE102013010129A1    citedBy-2
id-CN104249727A    citedBy-4
id-KR20140145833A    citedBy-2
id-EP2860054A1    citedBy-1
id-EP3010140A1    citedBy-3
id-WO2014196939A3    citedBy- 
id-JP5811148B2    citedBy-46
id-US9849870B2    citedBy-37
id-US11437686B2    citedBy- 
id-CN104340208B    citedBy-22
id-US9643499B2    citedBy-18
id-US20150019058A1    citedBy-41
id-US9688161B2    citedBy-12
id-US20230006308A1    citedBy-9
id-EP3024677B1    citedBy-12
id-EP3028336B1    citedBy-12
id-CN104300595B    citedBy-11
id-EP3017538B1    citedBy-11
id-JP6255775B2    citedBy-7
id-DE112014003509B4    citedBy-7
id-EP3028891B1    citedBy-8
id-JP2015016810A    citedBy-12
id-CN104340078A    citedBy-16
id-JP6434509B2    citedBy-8
id-DE102013012164A1    citedBy-8
id-KR20160029751A    citedBy-9
id-US20160225507A1    citedBy-8
id-WO2015007126A1    citedBy-5
id-CN105431976B    citedBy-3
id-CN104283428A    citedBy-1
id-JP2016165165A    citedBy-1
id-WO2015004408A1    citedBy-4
id-EP2821271A1    citedBy-3
id-KR20150012527A    citedBy-3
id-WO2015017459A3    citedBy-2
id-DE102013214814B4    citedBy- 
id-US9827873B2    citedBy-21
id-EP3030440B1    citedBy-38
id-US20200290613A1    citedBy-14
id-DE102014216899B4    citedBy-28
id-US9889758B2    citedBy-23
id-WO2015026913A1    citedBy-10
id-US9479157B2    citedBy-16
id-US9557746B2    citedBy-16
