id-US10978763B2    citedBy-25
id-US10071699B2    citedBy-27
id-JP6360442B2    citedBy-44
id-US10286805B2    citedBy-17
id-EP3242732B1    citedBy-14
id-EP3251888B1    citedBy-15
id-US9975449B2    citedBy-12
id-US10266069B2    citedBy-13
id-US10554117B2    citedBy-11
id-CN105752074B    citedBy- 
id-US20160214490A1    citedBy-8
id-RU2657480C1    citedBy-7
id-DE112015000284T5    citedBy-8
id-KR102460194B1    citedBy-5
id-WO2016114032A1    citedBy-5
id-WO2016119948A1    citedBy-5
id-CN105825700A    citedBy-5
id-CN105790624A    citedBy-2
id-US10086818B2    citedBy-1
id-CN105905107B    citedBy-17
id-EP3056397B1    citedBy-19
id-US9815373B2    citedBy-32
id-US9694819B2    citedBy-11
id-US20180034356A1    citedBy-14
id-CN105882414A    citedBy-5
id-US9533602B2    citedBy-5
id-CN104648367A    citedBy-5
id-CN105905113B    citedBy-4
id-JP6586158B2    citedBy-3
id-CN107258049B    citedBy-3
id-DE102015203137A1    citedBy-2
id-DE102015203519A1    citedBy-1
id-KR102288749B1    citedBy-1
id-DE102015203381A1    citedBy-2
id-KR20160104312A    citedBy- 
id-KR20160097587A    citedBy- 
id-JP5977855B1    citedBy-27
id-CN105936278B    citedBy-34
id-JP6335387B2    citedBy-15
id-US9796375B2    citedBy-15
id-CN106004445B    citedBy-13
id-KR101704176B1    citedBy-14
id-US11110802B2    citedBy-11
id-EP3275751B1    citedBy-10
id-US9586485B2    citedBy-7
id-CN106032990A    citedBy-10
id-KR101580773B1    citedBy-6
id-US9761065B2    citedBy-9
id-EP3069918A1    citedBy-6
id-US20160264077A1    citedBy-8
id-CN107406010A    citedBy-5
id-EP3276216B1    citedBy-5
id-US10577087B2    citedBy-4
id-CN106004459B    citedBy-4
id-WO2016139648A1    citedBy-4
id-KR20160109574A    citedBy-4
id-DE102016105399A1    citedBy-1
id-KR20160116583A    citedBy-3
id-KR101541711B1    citedBy-3
id-DE202015001648U1    citedBy- 
id-RU2587207C1    citedBy- 
id-KR20160114242A    citedBy- 
id-US20180097456A1    citedBy- 
id-US10245972B2    citedBy-29
id-US10118505B2    citedBy-74
id-US11072253B2    citedBy-17
id-US9783262B2    citedBy-24
id-CN105197840B    citedBy-16
id-US10744888B2    citedBy-16
id-JP7216152B2    citedBy-11
id-US20160315521A1    citedBy-6
id-US20160311325A1    citedBy-7
id-US9868364B2    citedBy-6
id-DE102015105331A1    citedBy-8
id-KR101655665B1    citedBy-5
id-CN106064563B    citedBy-4
id-KR101832841B1    citedBy-4
id-DE102016106110B4    citedBy-2
id-US20160318402A1    citedBy-1
id-AT517153B1    citedBy-2
id-CN104802785B    citedBy-1
id-KR20160127195A    citedBy- 
id-FR3035362A1    citedBy- 
id-KR20160126749A    citedBy- 
id-US9702718B2    citedBy-21
id-CN106143484B    citedBy-22
id-US20160336624A1    citedBy-16
id-EP3296142B1    citedBy-10
id-CN106167017B    citedBy-9
id-KR101833190B1    citedBy-6
id-US20170328959A1    citedBy-8
id-DE102016005174A1    citedBy-8
id-EP3303044B1    citedBy-6
id-CN106167021B    citedBy-5
id-US10053184B2    citedBy-4
id-DE102015006416A1    citedBy-1
id-US9481252B1    citedBy-3
id-KR101646463B1    citedBy-2
id-CN105015532A    citedBy-3
id-KR20160131439A    citedBy-2
id-KR20160133765A    citedBy-3
id-US20150244290A1    citedBy-1
id-DE202015003269U1    citedBy- 
id-DE112015006519T5    citedBy- 
id-JP6877368B2    citedBy-48
id-US10272913B2    citedBy-23
id-US20160363935A1    citedBy-46
id-JP6588981B2    citedBy-28
id-US10583744B2    citedBy-13
id-CN107921937B    citedBy-11
id-DE102016209938A1    citedBy-9
id-CN106329612A    citedBy-8
id-US20160378707A1    citedBy-12
id-CN106256638A    citedBy-5
id-US20160375778A1    citedBy-5
id-US9321355B1    citedBy-5
id-CN106257811A    citedBy-5
id-US9676280B2    citedBy-3
id-US20170225589A1    citedBy-3
id-US20160362005A1    citedBy-1
id-DE102015210264A1    citedBy-1
id-KR20170002203A    citedBy- 
id-US9969271B2    citedBy-20
id-JP6332180B2    citedBy-20
id-US10106143B2    citedBy-19
id-JP6269607B2    citedBy-24
id-EP3124302B1    citedBy-18
id-US20170015397A1    citedBy-18
id-EP3118078B1    citedBy-12
id-CN106347354B    citedBy-11
id-US10173536B2    citedBy-12
id-KR101776721B1    citedBy-12
id-US10195945B2    citedBy-10
id-EP3329587B1    citedBy-9
id-WO2017013059A1    citedBy-7
id-US10953756B2    citedBy-9
id-JP2017028905A    citedBy-7
id-US20170028835A1    citedBy-5
id-CN106427982A    citedBy-5
id-CN106394308A    citedBy-5
id-EP3321117A1    citedBy-4
id-KR20170011367A    citedBy-1
id-KR101856289B1    citedBy-2
id-JP6436433B2    citedBy-2
id-KR20170015259A    citedBy- 
id-KR20170009489A    citedBy- 
id-WO2017017855A1    citedBy- 
id-KR20170011576A    citedBy- 
id-US20210086652A1    citedBy-35
id-US20180237001A1    citedBy-31
id-US10246080B2    citedBy-13
id-US10384669B2    citedBy-26
id-US10543818B2    citedBy-38
id-EP3334619B1    citedBy-15
id-AU2016317839C1    citedBy-12
id-US10106039B2    citedBy-12
id-CN106476777B    citedBy-13
id-US9956959B2    citedBy-11
id-US10023071B2    citedBy-11
id-US20170036548A1    citedBy-1
id-US9400034B1    citedBy-10
id-US20190217708A1    citedBy-4
id-KR20170019253A    citedBy-9
id-JPWO2017033328A1    citedBy-5
id-US20170050700A1    citedBy-4
id-KR20170024857A    citedBy-1
id-US10184534B2    citedBy-1
id-CN105882836A    citedBy-3
id-DE102015215354A1    citedBy-1
id-US10046645B2    citedBy-1
id-CN106476773A    citedBy-1
id-JP6524240B2    citedBy-1
id-KR20170016204A    citedBy-1
id-CN105128833A    citedBy-1
id-CN106476776A    citedBy-3
id-FR3040338A1    citedBy- 
id-WO2017025909A3    citedBy- 
id-EP3347228B1    citedBy-17
id-US9758153B2    citedBy-29
id-US10046642B2    citedBy-17
id-US9873350B2    citedBy-36
id-CN105150858B    citedBy-16
id-EP3351421B1    citedBy-14
id-CN106930811B    citedBy-12
id-CN106494375B    citedBy-12
id-WO2017058660A1    citedBy-21
id-KR101724903B1    citedBy-10
id-US10324114B2    citedBy-5
id-JPWO2017056541A1    citedBy-6
id-JP2017070078A    citedBy-7
id-US20170087993A1    citedBy-6
id-US20180264951A1    citedBy-6
id-JP2017070117A    citedBy-8
id-KR101748264B1    citedBy-7
id-US20180222500A1    citedBy-5
id-CN106515423B    citedBy-5
id-CN106515718A    citedBy-5
id-US20180273020A1    citedBy-5
id-CN106515505A    citedBy-4
id-KR101712285B1    citedBy-5
id-US10305410B2    citedBy-4
id-DE102015216762A1    citedBy-4
id-CN106541933A    citedBy-3
id-KR101634930B1    citedBy-3
id-JP6411980B2    citedBy-2
